id,channelname,hunt_bandwidth,hunt_frequency,longitude,max_lat,max_skew,min_look_angle,name,noise_reference_frequency,pol_skew,polarity,rx_lcl_osc,skew_margin,tx_bandwidth,tx_frequency,tx_lcl_osc,tx_polarity
1000,FST_IS902_N1_IDIRCT_EUR_EUR,10.000000,1014.260000,62.000000,0.000000,90.000000,0.000000,IS902,260.000000,5,H,10000.000000,90.000000,1.000000,1000.000000,12800.000000,X
1012,FST_IS17_N3_IDRCT_EMEKH_EMEKH,10.000000,1270.350000,66.000000,0.000000,90.000000,0.000000,IS17,350.000000,5,V,11300.000000,90.000000,1.000000,1000.000000,12800.000000,X
106,FST_IS905_N1_IDIRCT_EUR_EUR,10.000000,1054.456000,-24.500000,0.000000,90.000000,0.000000,IS905,313.000000,5,V,10000.000000,90.000000,1.000000,1000.000000,12800.000000,X
347,HOU_T14R_N1_IDRCT_USV_AOH,10.000000,1604.050000,-63.000000,0.000000,90.000000,0.000000,T14R,313.000000,5,H,10000.000000,90.000000,1.000000,1000.000000,12800.000000,X
464,MAC_G28_N2_IDRCT_SAKV_SAKV,10.000000,1054.398000,-89.000000,0.000000,90.000000,0.000000,G28,0.000000,5,H,10750.000000,90.000000,1.000000,1000.000000,12800.000000,X
567,HAG_IS21_N2_IDRCT_MOKV_MOKV,10.000000,1459.392000,-58.000000,0.000000,90.000000,0.000000,IS21,456.000000,5,H,10000.000000,90.000000,1.000000,1000.000000,12800.000000,X
616,HAG_IS35_N1_IDRCT_CRBKH_CRBKH,10.000000,1160.000000,-34.500000,0.000000,90.000000,0.000000,IS35e,313.000000,5,V,10000.000000,90.000000,1.000000,1000.000000,12800.000000,X
774,HAG_IS34_N1_IDRCT_NA_NA,10.000000,1518.809000,-55.500000,0.000000,90.000000,0.000000,IS34,313.000000,5,V,10000.000000,90.000000,1.000000,1000.000000,12800.000000,X
796,NRD_IS35e_N1_IDRCT_EMDKV_EMDKV,10.000000,995.615000,-34.500000,0.000000,90.000000,0.000000,IS35e,615.000000,5,H,10000.000000,90.000000,1.000000,1000.000000,12800.000000,X
814,KSN_IS22_N2_IDRCT_APAC_APAC,10.000000,1000.416000,72.000000,0.000000,90.000000,0.000000,IS22,416.000000,5,V,11300.000000,90.000000,1.000000,1000.000000,12800.000000,X
